,id,network,size,query,evidence,method,prune,heuristic,result,time
37,0e9f265a-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'g': False},mpe,False,fill,"{'p': {0: 0.001171875, 1: 0.001171875}, 'a': {0: True, 1: True}, 'e': {0: True, 1: True}, 'f': {0: True, 1: True}, 'g': {0: False, 1: False}, 'b': {0: True, 1: True}, 'c': {0: True, 1: True}, 'h': {0: True, 1: True}, 'd': {0: True, 1: True}, 'i': {0: True, 1: True}, 'j': {0: False, 1: True}}",0.09532314800890163
38,0e9f265b-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'g': False},mpe,True,degree,"{'p': {0: 0.075}, 'c': {0: True}, 'g': {0: False}, 'f': {0: True}, 'a': {0: True}}",0.03331413900014013
39,0e9f265c-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'g': False},mpe,False,degree,"{'p': {0: 0.001171875}, 'e': {0: True}, 'd': {0: True}, 'g': {0: False}, 'f': {0: True}, 'b': {0: True}, 'j': {0: True}, 'c': {0: True}, 'i': {0: True}, 'h': {0: True}, 'a': {0: True}}",0.10965019700233825
40,0e9f265d-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['g', 'i']",{'j': True},map,True,fill,"{'p': {0: 0.11249999999999999, 1: 0.11249999999999999}, 'g': {0: True, 1: True}, 'i': {0: False, 1: True}}",0.24274765900918283
41,0fd4f944-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['g', 'i']",{'j': True},map,False,fill,"{'p': {0: 0.11249999999999999, 1: 0.11249999999999999}, 'g': {0: True, 1: True}, 'i': {0: False, 1: True}}",0.32348277998971753
42,0fd4f945-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['g', 'i']",{'j': True},map,True,degree,"{'p': {0: 0.11249999999999999, 1: 0.11249999999999999}, 'i': {0: True, 1: True}, 'g': {0: False, 1: True}}",0.22763663600198925
43,0fd4f946-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['g', 'i']",{'j': True},map,False,degree,"{'p': {0: 0.11249999999999999, 1: 0.11249999999999999}, 'i': {0: True, 1: True}, 'g': {0: False, 1: True}}",0.3234424719994422
44,0fd4f947-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['g', 'i']",{'j': True},mpe,True,fill,"{'p': {0: 0.0375}, 'a': {0: True}, 'c': {0: True}, 'b': {0: True}, 'i': {0: True}, 'j': {0: True}}",0.046477770985802636
45,0fd4f948-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['g', 'i']",{'j': True},mpe,False,fill,"{'p': {0: 0.001171875}, 'a': {0: True}, 'e': {0: True}, 'f': {0: True}, 'g': {0: True}, 'b': {0: True}, 'c': {0: True}, 'h': {0: True}, 'd': {0: True}, 'i': {0: True}, 'j': {0: True}}",0.09561126100015827
46,0fd4f949-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['g', 'i']",{'j': True},mpe,True,degree,"{'p': {0: 0.0375}, 'j': {0: True}, 'c': {0: True}, 'i': {0: True}, 'b': {0: True}, 'a': {0: True}}",0.04864763797377236
47,0fd4f94a-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['g', 'i']",{'j': True},mpe,False,degree,"{'p': {0: 0.001171875}, 'e': {0: True}, 'd': {0: True}, 'g': {0: True}, 'f': {0: True}, 'b': {0: True}, 'j': {0: True}, 'c': {0: True}, 'i': {0: True}, 'h': {0: True}, 'a': {0: True}}",0.10885124298511073
48,0fd4f94b-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['i', 'j']",{'a': True},map,True,fill,"{'p': {0: 0.15, 1: 0.15}, 'j': {0: True, 1: True}, 'i': {0: False, 1: True}}",0.10226799998781644
49,0fd4f94c-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['i', 'j']",{'a': True},map,False,fill,"{'p': {0: 0.15, 1: 0.15}, 'j': {0: True, 1: True}, 'i': {0: False, 1: True}}",0.20307934802258387
50,0fd4f94d-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['i', 'j']",{'a': True},map,True,degree,"{'p': {0: 0.15, 1: 0.15}, 'j': {0: True, 1: True}, 'i': {0: False, 1: True}}",0.10321560001466423
51,0fd4f94e-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['i', 'j']",{'a': True},map,False,degree,"{'p': {0: 0.15, 1: 0.15}, 'j': {0: True, 1: True}, 'i': {0: False, 1: True}}",0.20086895299027674
52,0fd4f94f-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['i', 'j']",{'a': True},mpe,True,fill,"{'p': {0: 0.6}, 'a': {0: True}}",0.008355167985428125
